DATE,Change in time (days),,Percent Full,Combined Storage (mcm),Combined Precipitation (mcm),Inverted Inflow (mcm),Outflow (mcm),,,Outflow (mcm/day),Outflow (m3/day),,,
1/1/10,11,,60.76503098,1023.890772,1.814006795,48.04060721,31.3632,,,2.851200,33,,,
1/12/10,20,,61.86244427,1042.382186,11.60436606,109.1598439,57.024,,,2.851200,33,,,
2/1/10,11,,65.64524605,1106.122396,23.33960005,-65.15469405,31.3632,,,2.851200,33,,,
2/12/10,17,,61.30232059,1032.944102,6.615585772,138.0859532,48.4704,,,2.851200,33,,,
3/1/10,53,,67.01336742,1129.175241,4.730729324,121.2911497,151.1136,,,2.851200,33,,,
4/23/10,8,,65.52424451,1104.08352,6.98374073,91.19043827,22.8096,,,2.851200,33,,,
5/1/10,11,,69.99691982,1179.448099,0.84257663,-62.42387463,31.3632,,,2.851200,33,,,
5/12/10,31,,64.48092588,1086.503601,0.490294937,118.9910561,88.3872,,,2.851200,33,,,
6/12/10,72,,66.32627608,1117.597752,2.585858109,317.9600939,205.2864,,,2.851200,33,,,
8/23/10,70,,73.16660558,1232.857304,4.094674095,-13.6881821,199.584,,,2.851200,33,,,
11/1/10,11,,60.75251015,1023.679796,5.577970485,-51.27842019,31.3632,,,2.851200,33,,,
11/12/10,11,,56.17899978,946.6161463,2.736360469,92.24744423,29.4624,,,2.678400,31,,,
11/23/10,61,,60.06751045,1012.137551,6.276258053,241.3784979,173.9232,,,2.851200,33,,,
1/23/11,9,,64.44327045,1085.869107,25.91636362,-1.18212462,25.6608,,,2.851200,33,,,
2/1/11,22,,64.38828166,1084.942546,5.117313256,43.27160374,62.7264,,,2.851200,33,,,
2/23/11,48,,63.53739246,1070.605063,10.78729309,191.8071559,136.8576,,,2.851200,33,,,
4/12/11,41,,67.43868914,1136.341912,22.17416869,89.53208931,116.8992,,,2.851200,33,,,
5/23/11,20,,67.13050267,1131.14897,4.144052371,22.52297963,57.024,,,2.851200,33,,,
6/12/11,41,,65.3289022,1100.792002,3.477194499,175.9945985,116.8992,,,2.851200,33,,,
7/23/11,9,,69.0424092,1163.364595,0.232535387,-106.9017334,25.6608,,,2.851200,33,,,
8/1/11,31,,61.18899685,1031.034597,1.378917932,175.4200871,88.3872,,,2.851200,33,,,
9/1/11,11,,66.43598825,1119.446402,2.871371334,18.12061767,31.3632,,,2.851200,33,,,
9/12/11,11,,65.82048611,1109.075191,0.090014716,85.83527928,31.3632,,,2.851200,33,,,
9/23/11,153,,69.05859258,1163.637285,0.753732618,226.3165075,436.2336,,,2.851200,33,,,
2/23/12,18,,56.6453368,954.4739251,45.78726252,51.37593538,48.2112,,,2.678400,31,,,
3/12/12,81,,59.55049988,1003.425923,6.549442124,168.5461187,216.9504,,,2.678400,31,,,
6/1/12,30,,57.06653316,961.5710838,8.35868903,124.0436662,80.352,,,2.678400,31,,,
7/1/12,42,,60.15557501,1013.621439,12.34389595,84.88916375,119.7504,,,2.851200,33,,,
8/12/12,20,,58.81923434,991.1040987,0.748283786,65.31366151,53.568,,,2.678400,31,,,
9/1/12,30,,59.56071478,1003.598044,0.808277366,19.75206833,80.352,,,2.678400,31,,,
10/1/12,83,,56.01224865,943.8063897,3.400738511,-59.54778091,222.3072,,,2.678400,31,,,
12/23/12,110,,39.48677432,665.3521473,31.23090446,439.0430468,256.608,,,2.332800,27,,,
4/12/13,11,,52.16724621,879.0180986,79.75009466,-10.12100836,29.4624,,,2.678400,31,,,
4/23/13,8,,54.55102581,919.1847849,1.846490553,-27.47326565,21.4272,,,2.678400,31,,,
